district,village,office,agree,disagree
桃源區,梅山里,1,24,0
桃源區,拉芙蘭里,2,42,1
桃源區,復興里,3,4,2
桃源區,勤和里,4,12,1
桃源區,桃源里,5,27,7
桃源區,高中里,6,46,2
桃源區,建山里,7,24,11
桃源區,寶山里,8,22,0
那瑪夏區,達卡努瓦里,9,21,1
那瑪夏區,達卡努瓦里,10,38,5
那瑪夏區,瑪雅里,11,16,1
那瑪夏區,南沙魯里,12,134,0
甲仙區,東安里,13,100,3
甲仙區,西安里,14,130,5
甲仙區,和安里,15,116,4
甲仙區,大田里,16,363,17
甲仙區,寶隆里,17,220,8
甲仙區,關山里,18,178,15
甲仙區,小林里,19,116,4
六龜區,新威里,20,236,13
六龜區,新興里,21,181,11
六龜區,新寮里,22,198,15
六龜區,新發里,23,250,9
六龜區,荖濃里,24,319,21
六龜區,六龜里,25,208,8
六龜區,義寶里,26,294,20
六龜區,興龍里,27,234,14
六龜區,中興里,28,272,22
六龜區,寶來里,29,244,5
六龜區,文武里,30,342,15
六龜區,大津里,31,102,11
杉林區,杉林里,32,178,7
杉林區,木梓里,33,177,15
杉林區,集來里,34,366,10
杉林區,新庄里,35,204,13
杉林區,新庄里,36,148,9
杉林區,上平里,37,388,15
杉林區,月眉里,38,425,15
杉林區,大愛里,39,326,13
杉林區,大愛里,40,143,6
杉林區,月美里,41,378,18
內門區,溝坪里,42,255,9
內門區,金竹里,43,229,9
內門區,永富里,44,271,8
內門區,永吉里,45,147,4
內門區,永興里,46,108,0
內門區,石坑里,47,155,7
內門區,內門里,48,290,14
內門區,內豊里,49,367,14
內門區,觀亭里,50,501,20
內門區,中埔里,51,109,2
內門區,內東里,52,275,9
內門區,內南里,53,96,5
內門區,東埔里,54,167,4
內門區,三平里,55,192,10
內門區,木柵里,56,197,12
內門區,內興里,57,239,9
內門區,瑞山里,58,71,4
內門區,光興里,59,194,5
旗山區,太平里,60,416,18
旗山區,太平里,61,352,18
旗山區,大德里,62,353,11
旗山區,大德里,63,447,21
旗山區,湄洲里,64,306,9
旗山區,湄洲里,65,248,10
旗山區,圓富里,66,371,19
旗山區,圓富里,67,214,9
旗山區,中正里,68,338,15
旗山區,中正里,69,49,8
旗山區,大林里,70,287,13
